ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
នុយក្	នុយក្លេអ៊ែរ|នុយក្លេអូ
ជុំគ	ជុំគ្នា
ជុំគ្	ជុំគ្នា
ខាងកើ	ខាងកើត
ជម្រុ	ជម្រុញ|ជម្រុះ
របៀបរ	របៀបរៀបរយ|របៀបរចនា
ភ្លឺស	ភ្លឺស្វាង
ខូចខ	ខូចខាត
ខូចខា	ខូចខាត
គែ	គែម
គែម	គែម
ទសភ	ទសភាគ|ទសភា
ទសភា	ទសភាគ|ទសភា
ទសភាគ	ទសភាគ
ណូ	ណូអែល|ណូបែល
ណូអ	ណូអែល
ណូអែ	ណូអែល
ណូអែល	ណូអែល
ឧតុ	ឧតុនិយម
ឧតុន	ឧតុនិយម
ឧតុនិ	ឧតុនិយម
សព្ទ	សព្ទ
បំពង	បំពង់|បំពង
បំពង់	បំពង់
ខ្ចី	ខ្ចី
ស្លឹ	ស្លឹក|ស្លឹកឈើ
ស្លឹក	ស្លឹក|ស្លឹកឈើ
ម៉ូឌ	ម៉ូឌុល|ម៉ូឌី|ម៉ូឌីណា|ម៉ូឌឹម
ម៉ូឌុ	ម៉ូឌុល
នេស	នេសាទ
នេសា	នេសាទ
នេសាទ	នេសាទ
ផ្គូ	ផ្គូផ្គង
ផ្គូផ	ផ្គូផ្គង
ចាញ	ចាញ់
ចាញ់	ចាញ់
ការងូ	ការងូតទឹក
ភ្លេង	ភ្លេង
ណា៖	ណា៖
កម្ត	កម្តៅ
កម្តៅ	កម្តៅ
ឡុ	ឡុងដ៍|ឡុក
ឡុង	ឡុងដ៍
ឡុងដ	ឡុងដ៍
ឡុងដ៍	ឡុងដ៍
រស់ន	រស់នៅ|រស់នៅ៖
រស់នៅ	រស់នៅ|រស់នៅ៖
ជនរ	ជនរងគ្រោះ
ជនរង	ជនរងគ្រោះ
ជនរងគ	ជនរងគ្រោះ
មហោ	មហោស្រព|មហោស្រព៖
មហោស	មហោស្រព|មហោស្រព៖
មហោស្	មហោស្រព|មហោស្រព៖
ផ្សែ	ផ្សែង
ផ្សែង	ផ្សែង
បញ្ចុ	បញ្ចុះបញ្ចូល|បញ្ចុះ
ជិតខ	ជិតខាង|ជិតខាងលើ|ជិតខាងក្នុង
ជិតខា	ជិតខាង|ជិតខាងលើ|ជិតខាងក្នុង
អាលីស	អាលីស|អាលីស៖
ហ្វូង	ហ្វូង
អន្តោ	អន្តោប្រវេសន៍|អន្តោរប្រវេសន៍|អន្តោប្រវេសន៍៖
បោក	បោកគក់|បោក|បោកប្រាស់|បោកបក់|បោកបញ្ឆោត
បោកគ	បោកគក់
បោកគក	បោកគក់
រំលេ	រំលេច
រំលេច	រំលេច
ប្រែក	ប្រែក្លាយ|ប្រែក្លាយទៅជា|ប្រែក្លាយជា
សមាគ	សមាគម|សមាគមន៍
សមាគម	សមាគម|សមាគមន៍
ស៊ីម	ស៊ីមេ|ស៊ីម|ស៊ីមេទ្រី|ស៊ីម៉ងត៍
ស៊ីមេ	ស៊ីមេ|ស៊ីមេទ្រី
អ៊ិនធ	អ៊ិនធឺណិត|អ៊ិនធរណេត
កាយ៖	កាយ៖
សារស	សារសំខាន់
សារសំ	សារសំខាន់
វាស់ស	វាស់ស្ទង់
និព	និពន្ធ
និពន	និពន្ធ
និពន្	និពន្ធ
ស្ដ	ស្ដារ|ស្ដង់ដារ|ស្ដាំ|ស្ដេច|ស្ដីពី
ស្ដា	ស្ដារ|ស្ដាំ
ស្ដារ	ស្ដារ
វេច	វេចខ្ចប់|វេច
វេចខ	វេចខ្ចប់
វេចខ្	វេចខ្ចប់
តូក	តូក្យូ|តូកូមូលូស
តូក្	តូក្យូ
តូក្យ	តូក្យូ
ភាពរស	ភាពរសើប|ភាពរស់រវើក
ការឈប	ការឈប់
សន្ទន	សន្ទនា
ប់	ប់៖
ប់៖	ប់៖
ស្កេ	ស្កេន
ស្កេន	ស្កេន
ការរង	ការរងរបួស|ការរង|ការរង់ចាំ|ការរងទុក្ខ|ការរងទុក្ខវេទនា|ការរងរបួស៖
ពិព័	ពិព័រណ៍|ពិព័រណ៌
ពិព័រ	ពិព័រណ៍|ពិព័រណ៌
រុស	រុស្ស៊ី|រុស្សី៖|រុស្ស៊ី៖|រុស្សី
រុស្	រុស្ស៊ី|រុស្សី៖|រុស្ស៊ី៖|រុស្សី
រុស្ស	រុស្ស៊ី|រុស្សី៖|រុស្ស៊ី៖|រុស្សី
លិខ	លិខិត
លិខិ	លិខិត
លិខិត	លិខិត
កែវ	កែវ|កែវភ្នែក|កែវយឺត
ខាងសី	ខាងសីលធម៌
ការទ្	ការទ្រទ្រង់
សន្ទស	សន្ទស្សន៍
ភាពវិ	ភាពវិជ្ជមាន|ភាពវិញ
រកប	រកបាន
រកបា	រកបាន
រកបាន	រកបាន
ន្	ន្ត៖|ន្សោម|ន្ធ៖|ន្ត្រី៖|ន្ដ៖|ន្ធុវិទ្យា
ន្ត	ន្ត៖|ន្ត្រី៖
ន្ត៖	ន្ត៖
ដំណែ	ដំណែល
ដំណែល	ដំណែល
ការសប	ការសប្បាយ|ការសប្បាយរីករាយ
បណ្ដ	បណ្ដុះបណ្ដាល|បណ្ដាញ|បណ្ដោះអាសន្ន|បណ្ដាល|បណ្ដុះ|បណ្ដោយ
បណ្ដុ	បណ្ដុះបណ្ដាល|បណ្ដុះ
ងើ	ងើប|ងើបឡើង
ងើប	ងើប|ងើបឡើង
មុខត	មុខតំណែង
មុខតំ	មុខតំណែង
កាលណ	កាលណា
កាលណា	កាលណា
ការអះ	ការអះអាង|ការអះអាង៖
ហើយក	ហើយក៏
ហើយក៏	ហើយក៏
ជាស្	ជាស្រេច
ជាស្រ	ជាស្រេច
លុះ	លុះត្រាតែ|លុះ
លុះត	លុះត្រាតែ
លុះត្	លុះត្រាតែ
សុជ	សុជីវធម៌|សុជីវធ
សុជី	សុជីវធម៌|សុជីវធ
សុជីវ	សុជីវធម៌|សុជីវធ
ពន្ធុ	ពន្ធុវិទ្យា|ពន្ធុ
សាហ	សាហារ៉ា|សាហាវ|សាហ្វារី
សាហា	សាហារ៉ា|សាហាវ
សាហារ	សាហារ៉ា
វេយ	វេយ្យាករណ៍
វេយ្	វេយ្យាករណ៍
វេយ្យ	វេយ្យាករណ៍
រះ	រះ|រះ៖
លុបច	លុបចោល|លុបចេញ
លុបចោ	លុបចោល
បទបង	បទបង្ហាញ|បទបង្ហាញ៖
បទបង្	បទបង្ហាញ|បទបង្ហាញ៖
ការចេ	ការចេញ|ការចេះ|ការចេញផ្សាយ|ការចេញដំណើរ
នាំច	នាំចូល|នាំចេញ
នាំចូ	នាំចូល
ចេក	ចេក
បណ្ដា	បណ្ដាញ|បណ្ដាល|បណ្ដាលឱ្យ|បណ្ដាលឲ្យ
លើកល	លើកលែងតែ|លើកលែង
លើកលែ	លើកលែងតែ|លើកលែង
តម្រង	តម្រង់|តម្រង|តម្រងនោម
រទ	រទេះ
រទេ	រទេះ
រទេះ	រទេះ
អំណះ	អំណះអំណាង
អំណះអ	អំណះអំណាង
ការវះ	ការវះកាត់
ងាក	ងាក|ងាកចេញ
ដំឡូ	ដំឡូង|ដំឡូងបារាំង
ដំឡូង	ដំឡូង|ដំឡូងបារាំង
សន្ល	សន្លឹក|សន្លាក់|សន្លប់|សន្លឹម
សន្លឹ	សន្លឹក|សន្លឹម
ផ្អា	ផ្អាក
ផ្អាក	ផ្អាក
ស្នេ	ស្នេហា|ស្នេហាជាតិ|ស្នេហ៍
ស្នេហ	ស្នេហា|ស្នេហាជាតិ|ស្នេហ៍
ប៉ូលី	ប៉ូលីស|ប៉ូលី|ប៉ូលីម័រ|ប៉ូលីម៊ែ|ប៉ូលីណេស៊ី
ក្រូ	ក្រូច|ក្រូចឆ្មា|ក្រូចឆ្មារ|ក្រូអាត
ក្រូច	ក្រូច|ក្រូចឆ្មា|ក្រូចឆ្មារ
ទី២	ទី២|ទី២៖|ទី២។
មន្ត្	មន្ត្រី
ពពកស	ពពកសាធារណៈ|ពពកស
ពពកសា	ពពកសាធារណៈ
ខណ្	ខណ្ឌ|ខណ្ឌ៖
ខណ្ឌ	ខណ្ឌ|ខណ្ឌ៖
ជ្រែ	ជ្រែក|ជ្រែក៖
ជ្រែក	ជ្រែក|ជ្រែក៖
ហឹ	ហឹរ|ហឹង្សា|ហឹម
ហឹរ	ហឹរ
ជាសះ	ជាសះស្បើយ
ជាសះស	ជាសះស្បើយ
ថៃ	ថៃ|ថៃ៖
ប្រញ	ប្រញាប់ប្រញាល់|ប្រញាប់
ប្រញា	ប្រញាប់ប្រញាល់|ប្រញាប់
រន	រន្ទះ|រន្ធ|រន្ធត់|រនាំង|រន្ទា
រន្	រន្ទះ|រន្ធ|រន្ធត់|រន្ទា
រន្ទ	រន្ទះ|រន្ទា
រន្ទះ	រន្ទះ
បង្វ	បង្វែរ|បង្វិល|បង្វឹក
បង្វែ	បង្វែរ
ជាថ	ជាថ្មី
ជាថ្	ជាថ្មី
ជាថ្ម	ជាថ្មី
ផោ	ផោន
ផោន	ផោន
រួចរ	រួចរាល់|រួចរាល់ហើយ
រួចរា	រួចរាល់|រួចរាល់ហើយ
ខ្សែភ	ខ្សែភាពយន្ត|ខ្សែភ្លើង|ខ្សែភាពយន្ដ
ជីវប	ជីវបច្ចេកវិទ្យា|ជីវប្រវត្តិ
ជីវបច	ជីវបច្ចេកវិទ្យា
ការផឹ	ការផឹក
ដុះ	ដុះដាល|ដុះ
ដុះដ	ដុះដាល
ដុះដា	ដុះដាល
ចំណាត	ចំណាត់ថ្នាក់|ចំណាត់ការ
បុរេ	បុរេប្រវត្តិ|បុរេប្រវត្តិសាស្ត្រ|បុរេប្រវត្តិៈ
បុរេប	បុរេប្រវត្តិ|បុរេប្រវត្តិសាស្ត្រ|បុរេប្រវត្តិៈ
ល់	ល់៖
ល់៖	ល់៖
មេធ	មេធាវី|មេធ្មប់
មេធា	មេធាវី
មេធាវ	មេធាវី
ភូគ	ភូគព្ភសាស្ត្រ|ភូគព្ភវិទ្យា|ភូគព្ភ
ភូគព	ភូគព្ភសាស្ត្រ|ភូគព្ភវិទ្យា|ភូគព្ភ
ភូគព្	ភូគព្ភសាស្ត្រ|ភូគព្ភវិទ្យា|ភូគព្ភ
ពិរ	ពិរោះ|ពិរុទ្ធជន|ពិរុទ្ធ
ពិរោ	ពិរោះ
ពិរោះ	ពិរោះ
ការហោ	ការហោះហើរ
ធ្វើត	ធ្វើតេស្ត|ធ្វើត្រាប់|ធ្វើតេស្ដ|ធ្វើត្រឹមត្រូវ
ឥដ	ឥដ្ឋ
ឥដ្	ឥដ្ឋ
ឥដ្ឋ	ឥដ្ឋ
ជម្ង	ជម្ងឺ
ជម្ងឺ	ជម្ងឺ
ឆៅ	ឆៅ
រួស	រួសរាយ|រួសរាន់
រួសរ	រួសរាយ|រួសរាន់
រួសរា	រួសរាយ|រួសរាន់
ចម្ងល	ចម្ងល់
ប្រេស	ប្រេស៊ីល
ភាពចា	ភាពចាំបាច់|ភាពចាស់|ភាពចាស់ទុំ
សាកសម	សាកសម
មេឌ	មេឌីទែរ៉ាណេ|មេឌៀ
មេឌី	មេឌីទែរ៉ាណេ
មេឌីទ	មេឌីទែរ៉ាណេ
ឈ្លាស	ឈ្លាសវៃ|ឈ្លាសវៃ៖
រួប	រួបរួម|រួបរួមគ្នា
រួបរ	រួបរួម|រួបរួមគ្នា
រួបរួ	រួបរួម|រួបរួមគ្នា
ប៉ាន	ប៉ាន់ស្មាន|ប៉ាន់ប្រមាណ
ប៉ាន់	ប៉ាន់ស្មាន|ប៉ាន់ប្រមាណ
ចំណិ	ចំណិត
ចំណិត	ចំណិត
ទិក	ទិក
ទាល	ទាល់តែ|ទាល់តែសោះ
ទាល់	ទាល់តែ|ទាល់តែសោះ
ទាល់ត	ទាល់តែ|ទាល់តែសោះ
ធ្លាយ	ធ្លាយ
ទុកចោ	ទុកចោល
ជាលំ	ជាលំដាប់|ជាលំហ|ជាលំហាត់
ជាលំដ	ជាលំដាប់
ស្រាយ	ស្រាយ
ណាណ	ណាណូ|ណាណូម៉ែត្រ
ណាណូ	ណាណូ|ណាណូម៉ែត្រ
បក់	បក់
ក្រង	ក្រង
សាហាវ	សាហាវ
ទារ	ទារក|ទារ|ទារុណកម្ម
ទារក	ទារក
ប្រជុ	ប្រជុំ
រំ៖	រំ៖
កប	កប៉ាល់|កប្បាស|កប់
កប៉	កប៉ាល់
កប៉ា	កប៉ាល់
កប៉ាល	កប៉ាល់
ស្មាន	ស្មាន
ជាបន	ជាបន្ទាន់|ជាបន្ត|ជាបន្ត៖|ជាបន្ទុក
ជាបន្	ជាបន្ទាន់|ជាបន្ត|ជាបន្ត៖|ជាបន្ទុក
ជំព	ជំពូក|ជំពាក់|ជំពប់|ជំពូក៖
ជំពូ	ជំពូក|ជំពូក៖
ជំពូក	ជំពូក|ជំពូក៖
ម៉ែ	ម៉ែត្រ|ម៉ែ៖
ម៉ែត	ម៉ែត្រ
ម៉ែត្	ម៉ែត្រ
ការជា	ការជាប់|ការជាប់គាំង|ការជាវ|ការជាប់ពាក់ព័ន្ធ|ការជាសះស្បើយ|ការជា
ទេវ	ទេវកថា|ទេវភាព|ទេវតា|ទេវៈ
ទេវក	ទេវកថា
ទេវកថ	ទេវកថា
ការល្	ការល្អ|ការល្បួង|ការល្បាត
ស្ទាត	ស្ទាត់ជំនាញ
អកុ	អកុសល
អកុស	អកុសល
អកុសល	អកុសល
ធារ	ធារាសាស្រ្ត|ធារាសាស្ត្រ
ធារា	ធារាសាស្រ្ត|ធារាសាស្ត្រ
ធារាស	ធារាសាស្រ្ត|ធារាសាស្ត្រ
ដាន	ដាន|ដានី៖|ដានី
សារជ	សារជាតិ|សារជា|សារជាថ្មី|សារជាក់លាក់
សារជា	សារជាតិ|សារជា|សារជាថ្មី|សារជាក់លាក់
ការនេ	ការនេសាទ
ប៊	ប៊ីន|ប៊ឺ|ប៊ូតុង|ប៊ឺហ្គឺ|ប៊ីត|ប៊ឺរី
ប៊ី	ប៊ីន|ប៊ីត|ប៊ី|ប៊ីហ្សេន|ប៊ីស្សព|ប៊ីហ្សីន
ប៊ីន	ប៊ីន
ផ្ទះ៖	ផ្ទះ៖
ចាក់ផ	ចាក់ផ្សាយ
សាលី	សាលី
ញែ	ញែក|ញែកវិភាគ
ញែក	ញែក|ញែកវិភាគ
ដប់	ដប់
គ្រូ៖	គ្រូ៖
ការនា	ការនាំ|ការនាំចេញ|ការនាំចូល|ការនាំយក|ការនាំមុខ|ការនាំមក
ប្រណ	ប្រណិត|ប្រណាំង|ប្រណីត
ប្រណិ	ប្រណិត
សំបក	សំបក
បញ្ឈរ	បញ្ឈរ
ខ្ទ	ខ្ទឹម|ខ្ទង់|ខ្ទះ|ខ្ទម|ខ្ទាស់|ខ្ទប់
ខ្ទឹ	ខ្ទឹម
ខ្ទឹម	ខ្ទឹម
ចៀ	ចៀន|ចៀម|ចៀសវាង
ចៀន	ចៀន
ទំនាប	ទំនាប
ទីភ	ទីភ្នាក់ងារ|ទីភ្នាក់ងារ៖
ទីភ្	ទីភ្នាក់ងារ|ទីភ្នាក់ងារ៖
ទីភ្ន	ទីភ្នាក់ងារ|ទីភ្នាក់ងារ៖
សាប	សាប|សាប៊ូ|សាប់
ជម្ន	ជម្នះ
ជម្នះ	ជម្នះ
ស្ងា	ស្ងាត់
ស្ងាត	ស្ងាត់
ប្រេវ	ប្រេវ៉ាឡង់
លីន	លីនេអ៊ែរ|លីនុច|លីន|លីនេអ៊ែរ៖
លីនេ	លីនេអ៊ែរ|លីនេអ៊ែរ៖
លីនេអ	លីនេអ៊ែរ|លីនេអ៊ែរ៖
កូនគ	កូនគោល
កូនគោ	កូនគោល
ការទន	ការទន្ទេញ|ការទន្ទឹងរង់ចាំ|ការទន្ទ្រាន
សំណើច	សំណើច
ស្រទន	ស្រទន់
ទាសក	ទាសករ
ទាសករ	ទាសករ
រំលោ	រំលោភ|រំលោភបំពាន|រំលោះ
រំលោភ	រំលោភ|រំលោភបំពាន
គីឡ	គីឡូម៉ែត្រ|គីឡូក្រាម|គីឡូ
គីឡូ	គីឡូម៉ែត្រ|គីឡូក្រាម|គីឡូ
គីឡូម	គីឡូម៉ែត្រ
ភាវៈ	ភាវៈ
ឧបា	ឧបាយកល|ឧបាសក
ឧបាយ	ឧបាយកល
ឧបាយក	ឧបាយកល
បរិញ	បរិញ្ញាបត្រ
បរិញ្	បរិញ្ញាបត្រ
ភ្លក	ភ្លក់|ភ្លក្ស
ភ្លក់	ភ្លក់
ជីវៈ	ជីវៈ
ភ័ស	ភ័ស្តុតាង|ភ័ស្តុតា|ភ័ស្តុភារ
ភ័ស្	ភ័ស្តុតាង|ភ័ស្តុតា|ភ័ស្តុភារ
ភ័ស្ត	ភ័ស្តុតាង|ភ័ស្តុតា|ភ័ស្តុភារ
មេដ	មេដឹកនាំ|មេដាយ|មេដៃ|មេដំបែ
មេដឹ	មេដឹកនាំ
មេដឹក	មេដឹកនាំ
លេខ៖	លេខ៖
ការតវ	ការតវ៉ា
ជើងឯ	ជើងឯក
ជើងឯក	ជើងឯក
បៀ	បៀវត្សរ៍|បៀ|បៀរ|បៀន|បៀចំនួន|បៀតបៀន
បៀវ	បៀវត្សរ៍
បៀវត	បៀវត្សរ៍
បៀវត្	បៀវត្សរ៍
ហ៊	ហ៊ឺ|ហ៊ុំព័ទ្ធ|ហ៊ីបហប|ហ៊ាន|ហ៊ូ|ហ៊ុន
ហ៊ឺ	ហ៊ឺ
អាង	អាង|អាងទឹក
ត៖	ត៖
តួរ	តួរ
អ័	អ័ព្ទ|អ័ក្ស|អ័រម៉ូន|អ័ដាម
អ័ព	អ័ព្ទ
អ័ព្	អ័ព្ទ
អ័ព្ទ	អ័ព្ទ
ត្រច	ត្រចះត្រចង់|ត្រចៀក
ត្រចះ	ត្រចះត្រចង់
បក្	បក្សី|បក្សពួក|បក្ខពួក|បក្ស
បក្ស	បក្សី|បក្សពួក|បក្ស
បក្សី	បក្សី
ស៊ុប	ស៊ុប
ទល់ម	ទល់មុខ
ទល់មុ	ទល់មុខ
វៈ	វៈ៖
វៈ៖	វៈ៖
ប្រគ	ប្រគល់|ប្រគុំតន្ត្រី
ប្រគល	ប្រគល់
ពីមុខ	ពីមុខ|ពីមុខវិជ្ជា|ពីមុខងារ|ពីមុខតំណែង
ប៊ឺ	ប៊ឺ|ប៊ឺហ្គឺ|ប៊ឺរី|ប៊ឺរ|ប៊ឺសណ្ដែក
មីត	មីត
កីឡដ	កីឡដ្ឋាន
កីឡដ្	កីឡដ្ឋាន
យក្	យក្ស
យក្ស	យក្ស
ការផុ	ការផុត
ស័	ស័ក្តិសម|ស័ព្ទ|ស័ង្កសី
ស័ក	ស័ក្តិសម
ស័ក្	ស័ក្តិសម
ស័ក្ត	ស័ក្តិសម
រ៉ោតទ	រ៉ោតទ័រ
វិកល	វិកលចរិក|វិកលចរិត
វិកលច	វិកលចរិក|វិកលចរិត
ណ៏	ណ៏
ពីរ៉	ពីរ៉ា|ពីរ៉ាមីត
ពីរ៉ា	ពីរ៉ា|ពីរ៉ាមីត
ជូនព	ជូនពរ
ជូនពរ	ជូនពរ
ឈានជ	ឈានជើង
ឈានជើ	ឈានជើង
ទឹកក្	ទឹកក្រូច|ទឹកក្រូចឆ្មា|ទឹកក្រូចឆ្មារ
ថ្នេ	ថ្នេរ
ថ្នេរ	ថ្នេរ
វិមាន	វិមាន
សៀគ	សៀគ្វី
សៀគ្	សៀគ្វី
សៀគ្វ	សៀគ្វី
ប្រហោ	ប្រហោង
បាល់ឱ	បាល់ឱប
ព្យួ	ព្យួរ|ព្យួទ័រ
ព្យួរ	ព្យួរ
រន្ធ	រន្ធ|រន្ធត់
ខាងឆ	ខាងឆ្វេង
ខាងឆ្	ខាងឆ្វេង
ការលោ	ការលោត|ការលោភលន់
ជាដៃ	ជាដៃគូ|ជាដៃ|ជាដៃគូរ
ជាដៃគ	ជាដៃគូ|ជាដៃគូរ
ជញ្ជូ	ជញ្ជូន
បងប	បងប្អូន
បងប្	បងប្អូន
បងប្អ	បងប្អូន
ជណ	ជណ្តើរ|ជណ្ដើរ|ជណ្តើរយន្ត
ជណ្	ជណ្តើរ|ជណ្ដើរ|ជណ្តើរយន្ត
ជណ្ត	ជណ្តើរ|ជណ្តើរយន្ត
ជណ្តើ	ជណ្តើរ|ជណ្តើរយន្ត
អាត	អាតូម|អាត្លង់ទិក|អាតូ|អាត់|អាត្លាស|អាត្មានិយម
អាតូ	អាតូម|អាតូ|អាតូមិច
អាតូម	អាតូម|អាតូមិច
ទូរទឹ	ទូរទឹកកក
កាឡា	កាឡាក់ស៊ី|កាឡាំង
កាឡាក	កាឡាក់ស៊ី
ម្តងម	ម្តងម្កាល
ធូ	ធូលី|ធូរស្រាល|ធូរស្បើយ|ធូរ|ធូណា|ធូស
ធូល	ធូលី
ធូលី	ធូលី
ឋានៈ	ឋានៈ
ក្រអ	ក្រអូប|ក្រអូម|ក្រអឺត
ក្រអូ	ក្រអូប|ក្រអូម
កោសល	កោសល្យវិច្ច័យ|កោសល្យ
កោសល្	កោសល្យវិច្ច័យ|កោសល្យ
មត្	មត្តេយ្យ
មត្ត	មត្តេយ្យ
មត្តេ	មត្តេយ្យ
ក្បាច	ក្បាច់គុន|ក្បាច់|ក្បាច់គុន៖
ស្រមោ	ស្រមោល|ស្រមោច
អសក	អសកម្ម
អសកម	អសកម្ម
អសកម្	អសកម្ម
គ្រុ	គ្រុន|គ្រុនចាញ់
គ្រុន	គ្រុន|គ្រុនចាញ់
ពោត	ពោត
ប្រេក	ប្រេកង់
ក្តីប	ក្តីបារម្ភ|ក្តីប្រាថ្នា
គេ៖	គេ៖
ពន្លឿ	ពន្លឿន
យកម	យកមក|យកមកវិញ
យកមក	យកមក|យកមកវិញ
ច្រល	ច្រលំ
ច្រលំ	ច្រលំ
ទីណ	ទីណា
ទីណា	ទីណា
មង	មង្គលការ
មង្	មង្គលការ
មង្គ	មង្គលការ
មង្គល	មង្គលការ
សរសើ	សរសើរ
សរសើរ	សរសើរ
អតិរ	អតិរេក
អតិរេ	អតិរេក
ផត	ផត
លើសង	លើសង្គម៖|លើសង្គម
លើសង្	លើសង្គម៖|លើសង្គម
គ្រាម	គ្រាម
កុក	កុកងឺ|កុក
កុកង	កុកងឺ
កុកងឺ	កុកងឺ
បី៖	បី៖
បញ្ច្	បញ្ច្រាស|បញ្ច្រាស់
លំនៅឋ	លំនៅឋាន|លំនៅឋាន៖
កាក់	កាក់
ឆ័	ឆ័ត្រ
ឆ័ត	ឆ័ត្រ
ឆ័ត្	ឆ័ត្រ
ឆ័ត្រ	ឆ័ត្រ
ឆ្កួ	ឆ្កួត|ឆ្កួតលីលា|ឆ្កួតជ្រូក
ឆ្កួត	ឆ្កួត|ឆ្កួតលីលា|ឆ្កួតជ្រូក
មុខរ	មុខរបរ|មុខរបួស
មុខរប	មុខរបរ|មុខរបួស
រដ្ឋប	រដ្ឋបាល|រដ្ឋប្រហារ
រូបក	រូបកាយ|រូបការគិត|រូបកាសែត
រូបកា	រូបកាយ|រូបការគិត|រូបកាសែត
កិត	កិត្តិយស|កិត្យានុភាព|កិត្តិនាម
កិត្	កិត្តិយស|កិត្យានុភាព|កិត្តិនាម
កិត្ត	កិត្តិយស|កិត្តិនាម
រងច	រងចាំ
រងចា	រងចាំ
រងចាំ	រងចាំ
អារ៉	អារ៉ាប់|អារ៉ាប់៖|អារ៉ាប៊ី
អារ៉ា	អារ៉ាប់|អារ៉ាប់៖|អារ៉ាប៊ី
ភាពអយ	ភាពអយុត្តិធម៌
យូរយ	យូរយារ
យូរយា	យូរយារ
វះ	វះកាត់
វះក	វះកាត់
វះកា	វះកាត់
វះកាត	វះកាត់
ស្វាយ	ស្វាយ|ស្វាយចន្ទី
ត្បូ	ត្បូង
ត្បូង	ត្បូង
ទែ	ទែ|ទែរ|ទែម៉ូម៉ែត្រ|ទែម៉ូស្តាត
ភាពរំ	ភាពរំភើប|ភាពរំជើបរំជួល
របៀប៖	របៀប៖
ការរល	ការរលាយ|ការរលាក|ការរលួយ
គំនូស	គំនូស
សងខ	សងខាង|សងខា
សងខា	សងខាង|សងខា
សងខាង	សងខាង
ជ្រៀ	ជ្រៀត
ជ្រៀត	ជ្រៀត
មេតា	មេតាន|មេតា|មេតាម
មេតាន	មេតាន
មហន	មហន្តរាយ|មហន្តរាយ៖
មហន្	មហន្តរាយ|មហន្តរាយ៖
មហន្ត	មហន្តរាយ|មហន្តរាយ៖
ផ្ដុ	ផ្ដុំ
ផ្ដុំ	ផ្ដុំ
មនោស	មនោសញ្ចេតនា
មនោសញ	មនោសញ្ចេតនា
ស្ករគ	ស្ករគ្រាប់
សុទិ	សុទិដ្ឋិនិយម
សុទិដ	សុទិដ្ឋិនិយម
វែងឆ	វែងឆ្ងាយ
វែងឆ្	វែងឆ្ងាយ
វដ្ដ	វដ្ដ
សភ	សភា|សភាព|សភាវ|សភាវគតិ|សភាពស្លេកស្លាំង|សភាគ
សភា	សភា|សភាព|សភាវ|សភាវគតិ|សភាពស្លេកស្លាំង|សភាគ
បឺ	បឺរ|បឺរី|បឺហ្គឺ|បឺស|បឺ
បឺរ	បឺរ|បឺរី
ជម្រា	ជម្រាល
កូរ	កូរ៉េ|កូរ៉េ៖|កូរ
កូរ៉	កូរ៉េ|កូរ៉េ៖
កូរ៉េ	កូរ៉េ|កូរ៉េ៖
ការសុ	ការសុំ|ការសុំទោស
ចេញដ	ចេញដំណើរ
ចេញដំ	ចេញដំណើរ
កត់សំ	កត់សំគាល់
ចរច	ចរចា|ចរចារ
ចរចា	ចរចា|ចរចារ
ការជី	ការជីក|ការជី
គាំង	គាំង
ជាតិ៖	ជាតិ៖
រឹម	រឹម
វច	វចនានុក្រម|វចនៈ
វចន	វចនានុក្រម|វចនៈ
វចនា	វចនានុក្រម
វចនាន	វចនានុក្រម
នឿ	នឿយហត់|នឿយ
នឿយ	នឿយហត់|នឿយ
នឿយហ	នឿយហត់
នឿយហត	នឿយហត់
នៅជា	នៅជាប់|នៅជា
នៅជាប	នៅជាប់
គ្រីឃ	គ្រីឃីត|គ្រីឃី
ការតែ	ការតែង|ការតែ|ការតែងតាំង
នារ	នារី
នារី	នារី
ព្រលា	ព្រលានយន្តហោះ
ប៊ូ	ប៊ូតុង|ប៊ូលីន|ប៊ូហ្វេ|ប៊ូតាន|ប៊ូលីង|ប៊ូឡុង
ប៊ូត	ប៊ូតុង|ប៊ូតាន|ប៊ូតង់
ប៊ូតុ	ប៊ូតុង
អាគ	អាគុយ|អាគ្នេយ៍|អាគារ|អាគ្រី
អាគុ	អាគុយ
អាគុយ	អាគុយ
នីតិស	នីតិសម្បទា|នីតិសាស្រ្ត
ដេរ	ដេរី|ដេរ
ដេរី	ដេរី
ទី៣	ទី៣|ទី៣៖
ការចុ	ការចុះ|ការចុច|ការចុះខ្សោយ|ការចុះឈ្មោះ|ការចុះហត្ថលេខា|ការចុះចត
ស្រែ	ស្រែ|ស្រែក
ចូលក	ចូលក្នុង|ចូលកាន់
ចូលក្	ចូលក្នុង
ផលច	ផលចំណេញ
ផលចំ	ផលចំណេញ
ផលចំណ	ផលចំណេញ
ទៅវ	ទៅវិញ
ទៅវិ	ទៅវិញ
ទៅវិញ	ទៅវិញ
ចាត់ត	ចាត់តាំង
ខ្ទង	ខ្ទង់
ខ្ទង់	ខ្ទង់
ចត	ចត|ចតុកោណ|ចតុកោណកែង|ចត់|ចត្រង្គ
ការឲ	ការឲ្យ
ការឲ្	ការឲ្យ
ល្អ៖	ល្អ៖
ជជែកគ	ជជែកគ្នា
ត្ន	ត្នោត
ត្នោ	ត្នោត
ត្នោត	ត្នោត
